,product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
849,5000157024886,Heinz Baked Beans,Heinz,168.0,702.912,40.1,8.9,0.7,0.1,10.0,8.0,1.2775,0.511,4.0,-3.0,93.4662890625,0.22194513715710723,Low,Low Sugar,Yes
850,5410041010800,Petit écolier chocolat noir pur beurre de cacao,"Lu, Mondelez France",502.0,2100.0,62.0,36.0,25.0,15.0,5.6,4.5,0.57,0.228,4.0,26.0,0.0,0.5806451612903226,High,High Sugar,Yes
851,6111242107366,Press Up moyen,Jaouda,37.0,157.0,8.7,4.5,0.0,0.0,0.1,0.2,2.5,1.0,4.0,18.0,0.0,0.5172413793103449,Low,Low Sugar,Yes
853,3033710077274,"NESCAFÉ NES, Café Soluble, Boite de 200g","Nestlé,Nes,Nescafe",118.0,484.0,3.1,3.1,0.2,0.1,7.8,34.1,0.25,0.1,1.0,7.0,0.0,1.0,Low,Low Sugar,No
854,3083680973939,Ratatouille Cuisinée à la Provençal,Cassegrain,72.0,298.0,5.7,5.5,4.1,0.6,1.3,3.4,0.81,0.324,3.0,3.0,51.69625,0.9649122807017544,Low,Low Sugar,No
855,3124480186560,33CL CAN SLIM TROPICAL,"Oasis,Oasis Tropical",28.0,120.0,6.6,6.6,0.0,0.0,0.1,2.4,0.03,0.012,4.0,1.0,9.43,1.0,Low,Low Sugar,Yes
856,3292070005161,Houmous extra - Pois chiches français & graines de sésame,L'atelier Blini,317.0,1326.328,8.7,0.1,26.8,2.6,6.9,6.15,1.16,0.464,3.0,4.0,67.9,0.01149425287356322,Moderate,Low Sugar,No
857,5411188115496,"Alpro Sojadrink, Ungesüßt 1L",Danone,33.0,138.0,0.0,0.0,1.8,0.3,3.3,0.6,0.09,0.036,4.0,-5.0,8.7,0.0,Low,Low Sugar,Yes
858,6111242103696,Yaourt grec,Jaouda,150.0,627.6,16.1,16.1,8.0,8.0,3.3,2.4,0.0,0.0,4.0,12.0,0.25,1.0,Low,Moderate Sugar,Yes
859,3770016162043,Merguez Végétal,HAPPYVORE,220.0,913.0,4.8,0.6,16.0,1.3,12.0,6.1,0.74,0.296,4.0,-1.0,29.5,0.125,Low,Low Sugar,Yes
860,5000108022176,Scott's Porage Oats Original 1000g,Scott,149.6176,626.0000384000001,24.0,0.4,3.2,0.6,4.4,3.6,0.3675,0.147,1.0,7.0,0.0,0.016666666666666666,Low,Low Sugar,No
861,50184385,marmite,Marmite,250.0,1104.0,30.0,1.2,0.1,0.0,34.0,3.5,9.75,3.9,4.0,22.0,12.5,0.04,Low,Low Sugar,Yes
862,6111032002918,Yawmi velouté pistache,danone,95.0,397.48,14.7,9.0,3.0,2.0,2.3,2.4,0.0,0.0,4.0,4.0,0.0,0.6122448979591837,Low,Low Sugar,Yes
863,6111017046470,délice noir,Aiguebelle,534.0,2226.0,47.0,44.0,36.0,22.0,5.2,2.4,0.011,0.0044,4.0,28.0,0.0,0.9361702127659575,High,High Sugar,Yes
864,6111099000605,Lio produit,Unknown,0.0,0.0,0.0,0.0,100.0,14.0,1.0,2.4,0.0,0.0,4.0,7.0,0.0,0.0,Low,Low Sugar,Yes
865,3178530410143,Petites Madeleines pépites chocolat,St Michel,425.0,1776.0,55.0,29.0,21.0,2.9,5.1,1.6,0.69,0.276,4.0,18.0,18.4833333333333,0.5272727272727272,Moderate,High Sugar,Yes
866,6111250474641,Moutarde,Unknown,111.0,459.0,3.1,1.3,7.9,0.4,5.2,0.0,6.7,2.68,4.0,21.0,2.00714285714287,0.41935483870967744,Low,Low Sugar,Yes
867,4088600003429,Houmous,"The Deli,aldi",151.0,625.0,6.2,0.3,11.7,1.2,3.9,2.7,0.32,0.128,3.0,1.0,69.5,0.04838709677419355,Low,Low Sugar,No
868,4056489102977,Extra Virgin Olive Oil,Primadonna,828.0,3464.3520000000003,0.0,0.0,92.0,14.0,0.0,0.0,0.3675,0.147,2.0,7.0,100.0,0.0,High,Low Sugar,No
869,6111242105676,LADID,Jaouda,95.0,397.48,17.5,9.4,1.4,0.5,3.2,2.4,0.0,0.0,4.0,2.0,0.25,0.5371428571428571,Low,Low Sugar,Yes
870,3366321053284,St hubert omega 3 255 g doux,"Saint Hubert,St hubert omega 3",468.0,1924.0,0.0,0.0,52.0,15.0,0.0,2.4,0.42,0.168,4.0,10.0,30.0,0.0,Moderate,Low Sugar,Yes
871,3302740047367,Le Supérieur - à l'Etouffée - Conservation sans Nitrite,Fleury Michon,115.0,486.0,0.5,0.5,2.8,1.0,22.0,0.0,1.5,0.6,4.0,6.0,2.01171875,1.0,Low,Low Sugar,Yes
872,5010029207880,Oatibix,Weetabix,390.0,1641.0,63.0,4.8,8.0,1.3,12.0,8.8,0.23,0.092,3.0,-2.0,0.0,0.07619047619047618,Moderate,Low Sugar,No
873,8712100724572,Levure Chimique Alsacienne,Alsa,71.0,297.064,18.0,4.1,0.0,1.4,0.011,2.4,0.022,0.0088,4.0,7.0,0.0,0.22777777777777775,Low,Low Sugar,Yes
874,5059319029702,Rice Krispies,Kellogg’s,389.0,1627.576,86.0,7.9,1.2,0.4,7.0,2.9,0.9825,0.393,3.0,8.0,0.0,0.09186046511627907,Moderate,Low Sugar,No
875,3284230011884,8 Pains au lait frais Bio 280g,"La Boulangère Bio, La boulangere",345.0,1451.0,51.0,8.7,11.0,1.2,9.3,2.4,0.9,0.36,4.0,11.0,0.0,0.17058823529411762,Moderate,Low Sugar,Yes
876,3664346306027,chocolat en poudre,Poulain,71.0,297.0,8.7,8.1,1.9,1.2,4.0,1.2,0.11,0.044,4.0,11.0,0.0,0.9310344827586208,Low,Low Sugar,Yes
877,6111062000175,Huile de grignon d’olive,Unknown,900.0,3765.6000000000004,15.0,4.1,100.0,16.8,5.6,2.4,0.0,0.0,2.0,7.0,100.0,0.2733333333333333,High,Low Sugar,No
878,5070000126548,"Low Sugar, Naturally Gut-Loving Granola",Bio & Me,447.0,1963.0,49.7,7.9,17.9,3.7,13.2,17.0,0.06,0.024,4.0,0.0,18.5,0.158953722334004,Moderate,Low Sugar,Yes
879,3033710003228,RICORÉ® aux céréales et à la chicorée solubles Boîte 250g,"Nestlé,Caro,Ricore",371.0,1573.0,83.0,3.2,0.3,0.2,5.1,8.0,0.23,0.092,1.0,2.0,14.0,0.03855421686746988,Moderate,Low Sugar,No
880,3155251204343,Tartine & cuisson doux à tartiner et à cuire,Primevere,567.0,2331.0,0.0,0.0,63.0,17.0,0.0,0.0,0.35,0.14,4.0,9.0,25.0,0.0,High,Low Sugar,Yes
881,3760020500658,Pâte à tartiner chocolat Noisette,"Jardin Bio, Léa Nature",557.0,2325.0,55.0,52.0,34.0,5.6,6.2,3.3,0.06,0.024,4.0,25.0,10.0,0.9454545454545454,High,High Sugar,Yes
882,5011835101690,Cocoa Powder,Green & Blacks,399.0,1657.0,19.0,0.8,20.0,13.0,22.0,27.0,0.05,0.02,1.0,7.0,0.0,0.042105263157894736,Moderate,Low Sugar,No
883,8410076472953,Wraps,Old El Paso,299.0,1264.0,53.2,2.1,5.2,1.2,9.1,1.6,1.0,0.4,4.0,5.0,0.0,0.039473684210526314,Low,Low Sugar,Yes
884,6111029000293,enmer,كوسومار,400.0,1673.6000000000001,100.0,100.0,0.0,0.0,0.0,2.4,0.0,0.0,4.0,19.0,0.0,1.0,Moderate,High Sugar,Yes
885,8710522922019,Ketchup 5 Ingrédients,Amora,74.0,312.0,15.0,14.0,0.5,0.1,1.5,0.7,0.88,0.352,3.0,5.0,78.1,0.9333333333333333,Low,Moderate Sugar,No
886,5060198645624,Piadina midi flatbread,Piadina,119.0,497.896,18.0,2.1,3.3,1.5,3.2,1.5,1.5,0.6,3.0,24.0,8.0,0.11666666666666667,Low,Low Sugar,No
887,4058172309250,Magnesium,Mivolis,174.0,746.0,13.0,0.5,0.5,0.1,0.5,0.0,14.9,5.96,4.0,7.0,0.0,0.038461538461538464,Low,Low Sugar,Yes
888,5000442007594,Olive oil,Fry light,481.0,1980.0,0.1,0.0,49.5,7.1,0.0,0.0,0.0,0.0,4.0,3.0,51.0,0.0,Moderate,Low Sugar,Yes
890,5010338013714,Creamed Coconut Block,Blue Dragon,685.0,2825.0,14.0,5.8,64.0,58.0,7.2,0.0,0.04,0.016,1.0,14.0,100.0,0.41428571428571426,High,Low Sugar,No
891,5056053305703,Classic Chicken Soup,Covent Garden,151.0,637.0,11.2,2.5,7.0,4.2,10.4,1.3,1.4,0.56,3.0,2.0,14.0,0.22321428571428573,Low,Low Sugar,No
892,6111260680452,Marhaba,Unknown,537.0,2246.808,55.3,55.3,32.7,32.7,5.6,2.4,5.0,2.0,4.0,51.0,8.0,1.0,High,High Sugar,Yes
893,7613287152183,Shreddies,Nestle,364.0,1538.0,70.0,13.0,1.8,0.3,11.0,12.0,0.72,0.288,4.0,1.0,0.0,0.18571428571428572,Moderate,Moderate Sugar,Yes
894,5000111041843,Lea and perrins,Lea & Perrins,96.0,401.664,21.0,18.8,0.9,0.4,0.8,2.4,2.8525,1.141,4.0,20.0,1.78866477272728,0.8952380952380953,Low,Moderate Sugar,Yes
895,6111035002052,Bul'tropicale,"Les Eaux Minérales d'Oulmès, Oulmès",44.0,185.0,11.8,8.9,0.0,0.0,0.0,2.4,0.0,0.0,4.0,2.0,19.725,0.7542372881355932,Low,Low Sugar,Yes
896,3272770015516,Tartare 100% végétal au lait d'amande,"Savencia,Tartare",225.0,941.0,7.4,1.1,19.0,1.7,4.6,4.0,1.0,0.4,4.0,5.0,30.2119140625,0.14864864864864866,Low,Low Sugar,Yes
897,5740900404496,Butter,Lurpak,739.0,3091.976,0.7,0.7,82.0,52.0,0.6,2.4,1.18,0.472,2.0,24.0,0.0,1.0,High,Low Sugar,No
900,43647868039,Tiptree tomato ketchup,Wilkin & Sons,166.0,694.544,40.0,37.0,0.0,0.0,1.8,2.4,0.003,0.0012,3.0,10.0,63.5416666666667,0.925,Low,High Sugar,No
901,938150,single origin milk chocolate,Marks & Spencer,618.0,2585.712,37.9,37.2,47.4,29.1,8.4,2.4,0.25,0.1,3.0,29.0,0.0,0.9815303430079156,High,High Sugar,No
902,5000184201199,Marmite Yeast Extract,Marmite,28.6,119.6624,3.3,0.132,0.055,0.011,3.74,0.385,1.188,0.4752,4.0,22.0,12.5,0.04,Low,Low Sugar,Yes
903,6111203005779,الهاندس,La Hollandaise,270.0,1129.68,7.0,6.0,23.0,15.0,10.0,0.0,0.0,0.0,4.0,10.0,0.0,0.8571428571428571,Low,Low Sugar,Yes
904,3168930003632,Flocons d'avoine complète,Quaker Oats,375.0,1570.0,60.0,1.1,8.0,1.5,11.0,9.0,0.01,0.004,4.0,-4.0,0.0,0.018333333333333333,Moderate,Low Sugar,Yes
905,6111245470023,Afia,AFIA,900.0,3765.6000000000004,0.0,0.0,100.0,15.0,0.0,2.4,0.0,0.0,2.0,5.0,0.0,0.0,High,Low Sugar,No
906,4088600266008,Greek style natural yoghurt,Brooklea,125.0,518.0,4.6,4.4,10.0,6.7,4.1,2.4,0.1,0.04,1.0,7.0,0.0,0.9565217391304349,Low,Low Sugar,No
907,5059319014814,Corn Flakes,Kellogg's,378.0,1581.5520000000001,84.0,8.0,0.9,0.2,7.0,3.0,1.1,0.44,3.0,11.0,0.0,0.09523809523809523,Moderate,Low Sugar,No
908,5025125000198,Sourdough Wholemeal Ciabattin,Jason's,232.0,970.688,43.8,2.2,1.2,0.2,11.7,6.5,0.77,0.308,4.0,-3.0,0.0,0.05022831050228311,Low,Low Sugar,Yes
910,3178530407396,Petit Cookies Pépites de chocolat,Bonne Maman,510.0,2133.84,63.6,35.0,26.0,17.0,7.3,3.6,0.4325,0.173,4.0,27.0,0.0,0.550314465408805,High,High Sugar,Yes
911,5054775188321,Unsalted Butter,Tesco,745.0,3117.08,0.6,0.6,82.2,52.1,0.6,0.0,0.02,0.008,2.0,19.0,0.0,1.0,High,Low Sugar,No
912,5060283760812,Sweet & salty popcorn,Proper Corn,65.0,271.96000000000004,7.9,3.8,2.9,0.2,1.1,1.5,0.21,0.084,4.0,16.0,23.125,0.48101265822784806,Low,Low Sugar,Yes
913,5018095004341,Smoky Spanish-Style Grains & Rice,Merchant Gourmet,167.0,698.7280000000001,31.0,1.4,1.9,0.5,4.8,4.3,1.2,0.48,4.0,6.0,16.0724609375,0.04516129032258064,Low,Low Sugar,Yes
914,7613287195210,Cheerios Multigrain,"Cheerios,Nestle",383.3333,1605.0,71.3333,10.0,4.6667,1.0,9.3333,2.7,0.83333,0.333332,4.0,7.0,0.0,0.1401869813957857,Moderate,Moderate Sugar,Yes
915,6111246721735,Fromage blanc nature,MILKY FOOD,225.0,941.4,3.6,4.1,21.0,1.4,3.8,0.0,0.0,0.0,1.0,7.0,0.0,1.1388888888888888,Low,Low Sugar,No
916,5055958701054,Protein Oat Boosts Cocoa Vanilla,Graze,386.0,1607.0,33.0,8.9,22.0,4.0,6.3,17.0,0.23,0.092,4.0,7.0,29.6166666666667,0.2696969696969697,Moderate,Low Sugar,Yes
917,5060069170033,Agave Nectar,the-groovy-food-company,298.0,1248.0,77.73,66.11,0.0,0.0,0.0,2.4,0.0,0.0,1.0,18.0,0.0,0.850508169304001,Low,High Sugar,No
918,5059319030517,Corn Flakes,Kelloggs,378.0,1581.5520000000001,84.0,8.0,0.9,0.2,7.0,3.0,1.1,0.44,3.0,11.0,0.0,0.09523809523809523,Moderate,Low Sugar,No
919,5013665108344,Smooth Organic Peanut Butter,Whole Earth,628.0,2603.0,13.7,5.2,51.2,13.7,25.6,4.9,1.0,0.4,3.0,10.0,91.0,0.3795620437956205,High,Low Sugar,No
920,5449000131843,Coca-Cola Zero,Coca-Cola,0.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.004,4.0,4.0,0.0,0.0,Low,Low Sugar,Yes
921,3175681257535,"Biscuits 3 graines Kasha, Sésame, Pavot",Gerblé,448.0,1880.0,60.0,17.0,17.0,1.6,9.5,8.7,0.42,0.168,3.0,7.0,0.0,0.2833333333333333,Moderate,Moderate Sugar,No
922,6111099000629,Huile de table,Lio,900.0,3768.0,0.0,0.0,100.0,14.0,0.0,2.4,0.0,0.0,4.0,20.0,0.0,0.0,High,Low Sugar,Yes
923,3228857002245,Pain de mie american sandwich rustique sans sucres ajoutés 500g,Harry's,293.0,1233.0,40.0,3.0,8.0,0.8,11.0,8.7,1.0,0.4,4.0,-2.0,6.15000000000004,0.075,Low,Low Sugar,Yes
924,3124480184344,Orangina,"Orangina, Orangina Schweppes France, Schweppes International Limited",41.0,173.0,9.7,9.6,0.1,0.0,0.1,2.4,0.01,0.004,4.0,11.0,27.0,0.9896907216494846,Low,Low Sugar,Yes
925,3760091721747,Beurre de cacahuètes du Nicaragua,Ethiquable,576.0,2697.0,12.0,5.9,48.0,10.0,25.0,0.0,0.5,0.2,3.0,8.0,95.8333333333333,0.4916666666666667,High,Low Sugar,No
927,6111252421971,Aquafina,Pepsi cola,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,4.0,7.0,0.0,0.0,Low,Low Sugar,Yes
929,39047011304,Shortbread Fingers,Walker’s,533.0,2226.0,58.4,16.2,30.3,18.9,5.6,2.1,0.7,0.28,3.0,23.0,0.0,0.2773972602739726,High,Moderate Sugar,No
930,4056489608264,Huile d'olive bio,PRIMADONNA,828.0,3464.3520000000003,0.0,0.0,92.0,14.0,0.0,2.4,0.0,0.0,2.0,0.0,100.0,0.0,High,Low Sugar,No
931,3497917000907,Chips saveur fromage du Jura,Brets,522.0,2177.0,52.0,1.1,31.0,2.6,6.3,4.8,1.7,0.68,4.0,14.0,0.0,0.021153846153846155,High,Low Sugar,Yes
932,5411188110842,Rich and indulgent Hazelnut,Promise Gluten Free,221.0,122.0,3.2,3.2,1.6,0.2,0.4,0.3,0.14,0.056,4.0,4.0,2.8,1.0,Low,Low Sugar,Yes
933,6111242101852,لينيا,Jaouda,48.0,200.832,7.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,Low,Low Sugar,Yes
934,6111259341517,Top cookies,Excelo,494.0,2074.0,71.0,31.0,21.0,10.2,5.8,1.2,0.1,0.04,4.0,24.0,0.0,0.43661971830985913,Moderate,High Sugar,Yes
935,4056489367260,Mon p'tit plaisir,Milbona,199.0,832.616,3.3,3.3,16.8,11.7,8.2,0.5,1.0,0.4,4.0,13.0,0.0,1.0,Low,Low Sugar,Yes
936,5053990161966,Pringles Texas BBQ 165g ajman,Pringles,517.0,2163.128,56.0,4.1,29.0,2.9,6.3,3.5,1.0825,0.433,4.0,13.0,0.0,0.0732142857142857,High,Low Sugar,Yes
937,5060482841565,Nutty Granola,Deliciously Ella,465.0,1945.5600000000002,61.0,16.0,18.0,2.6,12.0,8.2,0.2175,0.087,3.0,7.0,33.0,0.26229508196721313,Moderate,Moderate Sugar,No
938,5060088700105,NAKD PROTEIN - Cacao noisette - 45g (16x1p),Nakd,424.0,1765.0,33.0,28.0,22.0,3.5,16.0,16.0,0.01,0.004,4.0,7.0,96.0,0.8484848484848485,Moderate,High Sugar,Yes
939,6111259344501,Extrem,Excelo,412.0,1723.808,54.6,4.1,18.5,1.4,7.0,1.6,0.3675,0.147,4.0,7.0,20.0,0.07509157509157509,Moderate,Low Sugar,Yes
940,6130234001147,Lala kheddidja,cevital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.5,2.2,1.0,0.0,0.0,0.0,Low,Low Sugar,No
941,8024884500403,COURMAYEUR Eau Minérale Naturelle 1.50 L,Courmayeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.06,1.0,0.0,0.0,0.0,Low,Low Sugar,No
942,90162602,Redbull,Red Bull,46.0,192.464,11.0,11.0,0.0,0.0,0.0,2.4,0.0975,0.039,4.0,12.0,0.0,1.0,Low,Moderate Sugar,Yes
944,4056489620938,Beurre de cacahuètes,Maribel,683.0,2860.0,12.0,3.9,55.1,12.0,30.4,9.2,0.03,0.012,1.0,-6.0,100.0,0.325,High,Low Sugar,No
945,8076809513388,Arrabbiata,Barilla,60.0,250.0,5.5,5.0,3.1,0.3,1.4,2.2,1.0,0.4,4.0,0.0,94.175,0.9090909090909091,Low,Low Sugar,Yes
946,3336971805038,Chips de lentilles saveur tomate mozza,"Natu' & Bon,Vico",452.0,1894.0,54.0,3.8,19.0,1.8,13.0,7.2,1.1,0.44,4.0,8.0,47.0661644345238,0.07037037037037036,Moderate,Low Sugar,Yes
947,5059319023762,Miel pops,KELLOG'S,384.0,1606.656,85.0,22.0,1.5,0.1,5.2,4.6,0.4,0.16,4.0,9.0,0.0,0.25882352941176473,Moderate,Moderate Sugar,Yes
948,6111259346345,cooky original chocolate chips,Be,254.0,1062.736,32.0,17.5,13.0,7.0,2.05,1.3,0.0975,0.039,4.0,22.0,0.0,0.546875,Low,Moderate Sugar,Yes
949,20994945,Natural Cottage Cheese,Milbona,97.0,405.848,2.8,2.8,4.5,3.0,11.5,0.0,0.52,0.208,3.0,1.0,0.0,1.0,Low,Low Sugar,No
950,3228857000883,Extra moelleux nature,HARRYS,278.0,1202.0,47.1,6.5,5.2,0.5,8.1,5.0,1.18,0.472,4.0,4.0,7.48374999999999,0.13800424628450106,Low,Low Sugar,Yes
951,5010029202410,Weetabix,Weetabix,362.0,1531.0,69.0,4.2,2.0,0.6,12.0,10.0,0.28,0.112,3.0,-3.0,0.0,0.06086956521739131,Moderate,Low Sugar,No
952,7610313390076,Herbamare original,A.Vogel,18.0,70.0,2.5,1.5,0.5,0.5,0.9,0.0,93.6,37.44,2.0,7.0,28.125,0.6,Low,Low Sugar,No
953,7622210416629,La Biscotte 96% de céréales,Heudebert,408.0,1722.0,73.0,6.8,7.3,3.4,11.0,3.6,1.2,0.48,4.0,13.0,0.0,0.09315068493150684,Moderate,Low Sugar,Yes
954,7622210416681,Biscottes,"Heudebert,Lu,Mondelez",165.0,698.0,29.0,2.8,2.9,1.4,4.6,1.4,0.47,0.188,4.0,4.0,0.0,0.09655172413793103,Low,Low Sugar,Yes
955,20072360,Danpak Spreadable Slightly Salted,Danpack,707.0,2958.0,0.6,0.6,78.0,38.0,0.5,0.0,0.885,0.354,2.0,21.0,26.0,1.0,High,Low Sugar,No
956,4088600046648,Original Full Fat Soft Cheese,Emporium,229.0,958.1360000000001,3.2,3.2,21.5,13.7,5.6,0.3,0.7375,0.295,4.0,13.0,0.0,1.0,Low,Low Sugar,Yes
957,3029330071280,Pain complet,Jacquet,243.0,1038.0,42.0,3.8,3.0,0.3,8.7,6.6,1.2,0.48,4.0,2.0,12.0,0.09047619047619047,Low,Low Sugar,Yes
958,3175681257542,Cranberry saveur amande,Gerblé,48.0,201.0,7.5,1.8,1.5,0.2,0.8,0.6,0.02,0.008,4.0,0.0,5.3,0.24000000000000002,Low,Low Sugar,Yes
959,8721800402055,Leerdammer original 8 tranches 200g,Leerdammer,352.0,1460.0,0.1,0.1,27.5,18.5,26.0,2.4,1.5,0.6,3.0,14.0,0.0,1.0,Moderate,Low Sugar,No
960,3159470001424,Céréales All Bran Kellogg's Fibre Plus,Kellogg's,334.0,1400.0,48.0,18.0,3.5,0.7,14.0,27.0,0.95,0.38,4.0,8.0,0.0,0.375,Moderate,Moderate Sugar,Yes
961,50112784,Lemon,"Aquarius, The Coca-Cola Company",48.0,200.832,11.0,11.0,0.0,1.4,0.0,2.4,0.125,0.05,4.0,8.0,0.0,1.0,Low,Moderate Sugar,Yes
962,5031021164032,Italian Chopped Tomatoes,Tesco,25.0,106.0,4.0,4.0,0.2,0.1,1.4,0.9,0.09,0.036,1.0,-4.0,91.25,1.0,Low,Low Sugar,No
963,4088600225425,Canadian Maple Syrup,Specially Selected,359.0,1527.0,89.1,79.8,0.3,0.1,0.1,0.0,0.03,0.012,2.0,19.0,0.0,0.8956228956228957,Moderate,High Sugar,No
964,3660140948258,Savane,Brossard,431.0,1796.0,45.0,24.0,24.0,3.2,5.9,5.3,0.5,0.2,4.0,13.0,17.575,0.5333333333333333,Moderate,Moderate Sugar,Yes
965,6111259341654,eyoo,Excelo,493.0,2062.712,72.0,72.0,19.7,9.58,7.0,2.4,0.725,0.29,4.0,33.0,0.0,1.0,Moderate,High Sugar,Yes
966,5056053308742,Vegetable and roast chicken soup,YORKSHIRE PROVENDER,55.0,231.0,4.8,1.5,2.3,1.4,3.5,0.9,0.65,0.26,3.0,3.0,53.0625,0.3125,Low,Low Sugar,No
967,6111246721957,Le berger From blanc Nat,Unknown,262.0,1096.208,3.0,4.1,20.0,13.0,20.0,2.4,0.3675,0.147,3.0,7.0,0.0,1.3666666666666665,Low,Low Sugar,No
969,20920210,Chicorée Café,Bellarom,322.0,1359.0,59.0,7.5,0.5,0.1,11.0,20.0,0.48,0.192,4.0,7.0,0.0,0.1271186440677966,Moderate,Low Sugar,Yes
970,3451790988813,Le Beurre Tendre Demi-Sel Barquette,"Elle & Vire, Savencia",725.0,2982.0,0.7,0.7,80.0,56.0,0.6,0.0,2.0,0.8,2.0,29.0,0.0,1.0,High,Low Sugar,No
971,3480341000704,Carré frais 0 pourcent ail et fines herbes,Elle & Vire,21.0,87.864,1.1,0.7,0.1,0.0,4.0,2.4,0.000825,0.00033,4.0,-5.0,0.00495,0.6363636363636362,Low,Low Sugar,Yes
972,3760049798029,Tartines Bio quinoa & graines 450g,"La Boulangère Bio,La boulangere",314.0,1318.0,42.0,5.0,11.0,0.9,9.1,5.3,1.0,0.4,4.0,2.0,0.0,0.11904761904761904,Moderate,Low Sugar,Yes
973,5000157078773,Heinz Beanz No Added Sugar,"HAUGEN-GRUPPEN AS,Heinz",136.0,569.024,27.5,3.9,0.4,0.1,9.5,7.5,0.9,0.36,4.0,-5.0,87.0228515625,0.14181818181818182,Low,Low Sugar,Yes
974,5010477348630,"Muesli bio 36% fruits, noix & graines",Jordans,373.0,1569.0,60.7,18.9,8.4,2.8,9.3,8.5,0.03,0.012,1.0,6.0,17.5,0.31136738056013175,Moderate,Moderate Sugar,No
975,8715700112596,"Ketchup zéro sel ajouré, 70% moins de sucres",HEINZ,44.0,185.0,5.4,4.4,0.1,0.0,1.6,2.4,0.05,0.02,4.0,-1.0,63.28125,0.8148148148148149,Low,Low Sugar,Yes
976,5060482840766,Peanut Butter Oat Bars,Deliciously Ella,230.0,962.32,25.0,11.0,11.8,5.1,5.0,3.0,0.24,0.096,3.0,20.0,23.25,0.44,Low,Moderate Sugar,No
977,6111265980229,Nutabella,Unknown,522.0,2186.0,71.8,71.7,25.5,0.0,1.31,0.0,0.2675,0.107,4.0,22.0,0.0,0.998607242339833,High,High Sugar,Yes
978,8052575090247,Nocciolata,Rigoni di Asiago,544.0,2270.0,54.0,51.0,32.0,5.7,8.1,3.6,0.12,0.048,4.0,24.0,18.5,0.9444444444444444,High,High Sugar,Yes
979,4056489997511,Bio Hafer,Vemondo,35.0,148.0,5.6,3.3,1.2,0.2,0.0,1.0,0.08,0.032,4.0,4.0,0.0,0.5892857142857143,Low,Low Sugar,Yes
980,6191585701858,كريميو,Cremio,248.0,1037.632,9.5,0.0,20.0,17.0,8.0,2.4,4.25,1.7,4.0,30.0,0.0,0.0,Low,Low Sugar,Yes
981,359047,Italian Tomato Purée Double Concentrate,"Sainsbury's,by sainsbury's",89.0,375.0,15.3,14.9,0.5,0.1,4.3,2.9,0.05,0.02,1.0,2.0,75.0,0.9738562091503268,Low,Moderate Sugar,No
982,61232202556,Dark Chocolate Chip Oat Biscuits,Nairn's,454.0,1902.0,63.8,19.0,16.9,7.7,8.1,6.7,0.775,0.31,4.0,16.0,0.0,0.29780564263322884,Moderate,Moderate Sugar,Yes
983,3029330022411,Maxi Tranches Sans sucre ajouté Nature,Jacquet,249.0,1054.0,46.0,4.5,2.8,0.3,8.3,3.4,1.1,0.44,4.0,5.0,7.33333333333334,0.09782608695652174,Low,Low Sugar,Yes
984,3760091722508,Chocolat noir 85% Madagascar,Ethiquable,619.0,2562.0,24.0,14.0,51.0,31.0,11.0,11.0,0.0,0.0,3.0,15.0,0.0,0.5833333333333334,High,Moderate Sugar,No
985,5013665113133,Crunchy Peanut Butter,Whole Earth,643.0,2690.0,14.1,3.8,54.3,7.9,27.7,6.7,1.0825,0.433,3.0,5.0,97.0,0.2695035460992908,High,Low Sugar,No
986,6111005054098,sucre arôme vanille,Alsa,20.0,120.0,7.0,7.0,0.0,0.0,0.1,0.0,0.0625,0.025,2.0,20.0,0.0,1.0,Low,Low Sugar,No
987,20665241,Yaourt à la grecque,envia,102.0,426.76800000000003,3.7,3.6,8.1,5.4,2.9,0.5,0.0975,0.039,3.0,6.0,0.0,0.9729729729729729,Low,Low Sugar,No
988,4056489033042,Noisettes grillées,Alesto,217.0,907.928,1.1,1.1,21.1,2.0,4.3,2.5,0.009,0.0036,1.0,-8.0,100.0,1.0,Low,Low Sugar,No
989,6111255771196,Noisetta,Unknown,542.0,2267.728,58.4,57.3,32.9,7.3,3.1,2.4,0.05,0.02,4.0,28.0,0.0,0.9811643835616438,High,High Sugar,Yes
990,6111259346352,cooky,be,448.96,1878.43,57.67,34.9,22.19,11.9,4.64,3.56,0.27,0.108,4.0,25.0,0.0143750000000011,0.605167331368129,Moderate,High Sugar,Yes
991,22314010025,Crème de marrons de l'Ardèche,Clement Faugier,270.0,1147.0,63.6,50.2,0.8,0.2,1.3,1.9,0.01,0.004,4.0,17.0,54.1666666666667,0.789308176100629,Low,High Sugar,Yes
