,product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
292,3229820794525,Nutri+ avoine chocolat,Bjorg,454.0,1899.536,61.0,17.0,18.0,3.2,8.2,7.6,0.61,0.244,4.0,10.0,18.1666666666667,0.2786885245901639,Moderate,Moderate Sugar,Yes
293,8434165466333,Krit krititas galletas saladas,"Cuétara, Krit",505.0,2113.0,60.0,8.7,26.0,12.0,6.5,2.5,1.7,0.68,4.0,26.0,0.0,0.145,High,Low Sugar,Yes
294,5025125000150,Everyday White Rolls,Jason's,196.0,820.0640000000001,39.1,2.7,0.6,0.01,8.0,1.44,0.61,0.244,3.0,2.0,0.0,0.0690537084398977,Low,Low Sugar,No
295,6153153,Tartines craquantes quinoa - pois chiche,Jardin Bio,378.0,1603.0,79.0,0.6,1.6,0.5,9.6,4.7,0.5,0.2,3.0,1.0,0.0,0.007594936708860759,Moderate,Low Sugar,No
296,3045320094008,Strawberry Jam,Bonne Maman,241.0,1023.0,59.0,59.0,0.1,0.0,0.4,1.2,0.0,0.0,4.0,16.0,65.0,1.0,Low,High Sugar,Yes
297,7622201133337,Figolu,LUMondelez,128.0,535.552,23.008,16.0,2.5984,1.2,1.5008,0.998,0.0003,0.00012,4.0,21.0,26.0,0.6954102920723227,Low,Moderate Sugar,Yes
298,6111184000657,Star Mayonnaise,Star,592.0,2435.4,15.0,0.05,65.21,9.8,1.12,2.4,1.75,0.7,4.0,24.0,0.0,0.0033333333333333335,High,Low Sugar,Yes
299,3228857001231,Harrys brioche tressee nature au sucre perle sans additifs 500g,Harrys,356.0,1496.0,49.0,13.0,13.0,1.0,8.6,4.5,0.8,0.32,4.0,5.0,10.8,0.2653061224489796,Moderate,Moderate Sugar,Yes
300,3229820787015,BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR,Bjorg,25.0,102.0,1.6,0.5,1.7,0.2,0.7,0.5,0.05,0.02,4.0,2.0,2.8,0.3125,Low,Low Sugar,Yes
301,5010044000701,Crumpets,Warburtons,97.0,405.848,19.4,1.1,0.39985,0.1,3.3,1.1,0.7975,0.319,4.0,7.0,0.0,0.05670103092783506,Low,Low Sugar,Yes
302,3412290070101,Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,"Le Fromage Fouetté Madame Loïk, Paysan breton",252.0,1039.0,3.0,3.0,24.0,17.3,5.9,0.0,1.1,0.44,3.0,16.0,0.0,1.0,Low,Low Sugar,No
303,5016084000374,Nutritional Yeast Flakes,Engevita,349.0,1460.2160000000001,39.0,1.0,5.0,1.0,47.0,20.0,0.245,0.098,1.0,7.0,0.0,0.02564102564102564,Moderate,Low Sugar,No
304,6111250473453,Vip crema gold,VIP,0.5,0.5,0.5,4.1,0.5,0.5,0.5,0.5,1.25,0.5,4.0,7.0,0.0,8.2,Low,Low Sugar,Yes
305,6111251420272,Aïn Ifran Eau minérale naturelle,Ain ifrane,0.0,0.0,15.0,4.1,6.0,1.4,5.6,2.4,7.62,3.048,1.0,0.0,0.0,0.2733333333333333,Low,Low Sugar,No
307,8719200012608,ProActiv Margarine Tartine,ProActiv,314.0,1294.0,0.5,0.5,35.0,7.6,0.5,2.4,0.2,0.08,4.0,4.0,12.5,1.0,Moderate,Low Sugar,Yes
308,6111242102019,flan caram jao dan,Jaouda,3.0,2.0,18.0,7.0,7.0,3.0,2.0,3.0,4.0,1.6,4.0,23.0,0.0,0.3888888888888889,Low,Low Sugar,Yes
309,5060337220415,kefir drink original,Biotiful gut health,148.0,619.232,12.0,7.0,7.3,5.3,8.8,2.4,0.245,0.098,3.0,2.0,0.0,0.5833333333333334,Low,Low Sugar,No
311,6111035001383,Eau minerale,Sidi ali,0.0,0.0,15.0,4.1,6.0,1.4,5.6,2.4,62.5,25.0,1.0,0.0,0.0,0.2733333333333333,Low,Low Sugar,No
312,680569854124,Fermented Coconut Yoghurt Alternative,The Coconut Collab,120.0,502.0,6.9,1.6,10.0,9.0,1.2,1.0,0.0,0.0,4.0,4.0,95.0,0.2318840579710145,Low,Low Sugar,Yes
314,5411188119098,Natur mit Kokosnuss,Alpro,54.0,224.0,2.4,2.2,2.8,1.0,3.9,0.9,0.22,0.088,4.0,0.0,14.7,0.9166666666666667,Low,Low Sugar,Yes
316,8410076601131,Crunchy avoine et miel,Nature ValleyGeneral Mills,196.14,820.64976,27.006,11.256,7.602,0.924,3.654,2.688,0.3507,0.14028,4.0,14.0,5.03571428571428,0.416796267496112,Low,Moderate Sugar,Yes
